category,name,latitude,longitude,city,state,osm_url,matched_keyword,km_to_town,review
roadside-oddities,World's Biggest Pencil,39.299277,-87.993148,Casey,IL,https://www.openstreetmap.org/node/13838230109,,0.1,
roadside-oddities,Worlds Largest Mailbox,39.298807,-87.993631,Casey,IL,https://www.openstreetmap.org/way/1511169352,,,
roadside-oddities,World's Largest Teeter-Totter,39.299713,-87.990597,Casey,IL,https://www.openstreetmap.org/way/1514904924,,0.2,
roadside-oddities,World's Largest Horseshoe Crab,39.197685,-83.594565,Hillsboro,OH,https://www.openstreetmap.org/node/13246140459,,1.6,
roadside-oddities,The Mystery Hole,38.123751,-81.141022,Ansted,WV,https://www.openstreetmap.org/node/3795596607,,3.9,
roadside-oddities,Lumberjack Muffler Man Statue,38.225668,-80.5261,Richwood,WV,https://www.openstreetmap.org/node/12993208831,,0.6,
roadside-oddities,World's Largest Apple,39.186615,-78.166452,Winchester,VA,https://www.openstreetmap.org/node/4638916214,,0.3,
roadside-oddities,Worlds Largest Shopping Cart,39.294044,-74.971378,Laurel Lake,NJ,https://www.openstreetmap.org/node/13012396502,,7.1,
roadside-oddities,World's Tallest Free Standing Redwood Chainsaw Carving,39.919097,-123.764318,Redway,CA,https://www.openstreetmap.org/node/7741610271,,22.9,
roadside-oddities,Paul Bunyan and Babe,41.584584,-124.085805,Bertsch-Oceanview,CA,https://www.openstreetmap.org/node/10224166157,,19.6,
roadside-oddities,Paul Bunyan's Woodpile,39.766429,-112.115293,Mona,UT,https://www.openstreetmap.org/node/368981508,,22.9,
roadside-oddities,Paul Bunyan's Woodpile Overlook,39.765628,-112.115667,Mona,UT,https://www.openstreetmap.org/node/9951862412,,22.9,
roadside-oddities,Carhenge,42.142284,-102.85796,Alliance,NE,https://www.openstreetmap.org/way/128118680,,4.7,
roadside-oddities,World's Largest Ball of Sisal Twine,39.509227,-98.433692,Osborne,KS,https://www.openstreetmap.org/node/1701391919,,23.8,
roadside-oddities,Worlds Largest Baseball,39.551224,-95.521726,Horton,KS,https://www.openstreetmap.org/node/13722284402,,12.2,
roadside-oddities,World's Largest Popcorn Ball,42.422549,-94.99997,Sac City,IA,https://www.openstreetmap.org/way/1079482377,,0.8,
roadside-oddities,"Maxie, The World's Largest Goose",39.652974,-93.24626,Brookfield,MO,https://www.openstreetmap.org/node/8275261037,,20.8,
roadside-oddities,World's largest covered wagon,40.148572,-89.387311,Lincoln,IL,https://www.openstreetmap.org/node/4571108790,,1.9,
roadside-oddities,Paul Bunyan Statue,40.260799,-89.23153,Atlanta,IL,https://www.openstreetmap.org/node/5312226069,,0.2,
roadside-oddities,Uniroyal Tire (World's Largest Tire),42.270523,-83.209012,Allen Park,MI,https://www.openstreetmap.org/node/2177195823,,1.5,
roadside-oddities,Worlds Largest Ball Of Paint,40.258859,-85.709091,Alexandria,IN,https://www.openstreetmap.org/node/11737622378,,,
roadside-oddities,World's Largest Teapot,40.616118,-80.557208,Chester,WV,https://www.openstreetmap.org/node/7589834068,,0.6,
roadside-oddities,World's Largest Drumsticks,41.235693,-80.818786,Warren,OH,https://www.openstreetmap.org/node/8997212314,,0.2,
roadside-oddities,World's Largest Basket,40.12397,-82.012013,Dresden,OH,https://www.openstreetmap.org/node/11357375817,,0.3,
roadside-oddities,World's Largest Cuckoo Clock,40.503106,-81.640582,Sugarcreek,OH,https://www.openstreetmap.org/node/11845638582,,,
roadside-oddities,World's Largest Apple Basket,40.1355,-82.083138,Frazeysburg,OH,https://www.openstreetmap.org/node/13234045056,,3.7,
roadside-oddities,Big Chair,42.095702,-79.244411,Jamestown,NY,https://www.openstreetmap.org/node/12921170538,,0.8,
roadside-oddities,World's Largest Kaleidoscope,42.049237,-74.286949,Shokan,NY,https://www.openstreetmap.org/way/233881956,,10.5,
roadside-oddities,World's Largest Pile of Horseshoes,41.399241,-73.042863,Seymour,CT,https://www.openstreetmap.org/node/13379232012,,2.8,
roadside-oddities,World's Tallest Sugarpine,42.961233,-122.703101,Shady Cove,OR,https://www.openstreetmap.org/node/369017519,,40.0,
roadside-oddities,World's Largest Mineral Hot Spring,43.65636,-108.197973,Thermopolis,WY,https://www.openstreetmap.org/node/9347951437,,1.6,
roadside-oddities,World's Largest Pheasant,44.370001,-98.200075,Huron,SD,https://www.openstreetmap.org/node/5295030826,,1.4,
roadside-oddities,World's Largest Corn Cob,44.776084,-95.005925,Olivia,MN,https://www.openstreetmap.org/node/13076633708,,1.3,
roadside-oddities,Paul Bunyan's Boat-Anchor,45.29691,-96.432457,Ortonville,MN,https://www.openstreetmap.org/node/13725105809,,1.3,
roadside-oddities,World's Largest Ball of Twine Made By One Man,45.096339,-94.410164,Dassel,MN,https://www.openstreetmap.org/node/2986147781,,8.3,
roadside-oddities,Jolly Green Giant,43.650675,-94.095708,Blue Earth,MN,https://www.openstreetmap.org/node/4427906436,,1.6,
roadside-oddities,World's Largest Bullhead,43.225496,-93.790098,Forest City,IA,https://www.openstreetmap.org/node/9667073085,,13.1,
roadside-oddities,World's Largest Round Barn,44.652396,-90.174269,Marshfield,WI,https://www.openstreetmap.org/node/5512218629,,,
roadside-oddities,World's Largest Potato Masher,44.444892,-89.521939,Plover,WI,https://www.openstreetmap.org/node/11470123816,,2.2,
roadside-oddities,World's Largest Strawberry,42.682731,-91.534686,Strawberry Point,IA,https://www.openstreetmap.org/node/13909483879,,0.1,
roadside-oddities,World's Largest Six-Pack,43.802842,-91.253231,La Crosse,WI,https://www.openstreetmap.org/way/345148051,,,
museums,Paul Bunyan Logging Camp Museum,44.810459,-91.517919,Eau Claire,WI,https://www.openstreetmap.org/way/449480074,,1.5,
roadside-oddities,World's Largest Cherry Pie - Pan,44.736254,-85.625162,Traverse City,MI,https://www.openstreetmap.org/node/10552756747,,3.0,
roadside-oddities,Quarry View,45.389405,-83.801163,Rogers City,MI,https://www.openstreetmap.org/node/11046794766,,,
roadside-oddities,Paul Bunyan,44.902028,-83.443236,Hubbard Lake,MI,https://www.openstreetmap.org/node/11699213800,,17.7,
roadside-oddities,Upside Down House,43.092287,-79.074838,,,https://www.openstreetmap.org/way/374827331,,,"outside the US (nearest: Niagara Falls, CA)"
